Frame,ADP Landlord,Resnet Farmer
10140456300,0.542,0.458
10197877100,0.542,0.458
10202467500,0.548,0.452
10199721900,0.55,0.45
10181821100,0.551,0.449
10182909100,0.552,0.448
10195769900,0.552,0.448
10136345900,0.557,0.443
10179870700,0.558,0.442
10176920300,0.561,0.439
10189854700,0.562,0.438
10158787500,0.563,0.437
10146638700,0.564,0.436
10177886700,0.564,0.436
10141496300,0.566,0.434
10150755500,0.566,0.434
10187881900,0.566,0.434
10215709100,0.566,0.434
10125945900,0.567,0.433
10143509100,0.567,0.433
10151685100,0.567,0.433
10168904300,0.57,0.43
10128053100,0.571,0.429
10154742700,0.571,0.429
10207577900,0.571,0.429
10132326700,0.573,0.427
10191793900,0.573,0.427
10192843500,0.574,0.426
10222857900,0.574,0.426
10186824300,0.575,0.425
10212672300,0.575,0.425
10173840300,0.577,0.423
10194899500,0.577,0.423
10200659500,0.577,0.423
10213667500,0.577,0.423
10210605100,0.58,0.42
10217800300,0.58,0.42
10161814700,0.581,0.419
10269193900,0.581,0.419
10148646700,0.584,0.416
10163875500,0.584,0.416
10138454700,0.585,0.415
10174843500,0.585,0.415
10204485100,0.585,0.415
10153726700,0.586,0.414
10223894700,0.588,0.412
10159777900,0.589,0.411
10169862700,0.59,0.41
10184861100,0.591,0.409
10166910700,0.592,0.408
10209592300,0.592,0.408
10268209900,0.593,0.407
10205507500,0.595,0.405
10218798700,0.595,0.405
10266181100,0.595,0.405
10171920300,0.596,0.404
10264153900,0.596,0.404
10156750700,0.597,0.403
10164835500,0.6,0.4
10118841900,0.601,0.399
10117869100,0.602,0.398
10123041900,0.602,0.398
10145601900,0.602,0.398
10225899500,0.608,0.392
10120902700,0.609,0.391
10220760300,0.61,0.39
10123961900,0.611,0.389
10265123500,0.621,0.379
10610323500,0.596,0.404
10611633900,0.574,0.426
10612309100,0.568,0.432
10613633900,0.575,0.425
10688163500,0.565,0.435
10690008300,0.566,0.434
10690913900,0.582,0.418
10686222700,0.586,0.414
10686859500,0.6,0.4
10688459500,0.562,0.438
10689347500,0.572,0.428
10691117100,0.578,0.422
10692080300,0.576,0.424
10693989100,0.579,0.421
10694870700,0.611,0.389
10696785900,0.566,0.434
10697728300,0.587,0.413
10698737900,0.564,0.436
10700133100,0.578,0.422
10700200300,0.578,0.422
10700310700,0.588,0.412
10701669100,0.583,0.417
10702544300,0.591,0.409
10704654700,0.589,0.411
10705808300,0.606,0.394
10709691500,0.567,0.433
10711733100,0.593,0.407
10712741100,0.641,0.359
10781245100,0.62,0.38
10783233900,0.617,0.383
10795125100,0.591,0.409
10797037100,0.609,0.391
11494907500,0.469,0.531
11495528300,0.453,0.547
11496848300,0.456,0.544
11497539500,0.415,0.585
11498184300,0.461,0.539
11501117100,0.454,0.546
11501797100,0.454,0.546
11569449900,1.0,0.0
11570699500,1.0,0.0
